Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/30/2022,12/30/2022,Tesla Inc Supercharger,Automotive,Sale,-3.60,
12/27/2022,12/27/2022,Tesla Inc Supercharger,Automotive,Sale,-6.60,
12/20/2022,12/21/2022,HLU*Hulu 1531732892616-U,Bills & Utilities,Sale,-5.00,
12/18/2022,12/19/2022,Tesla Inc Supercharger,Automotive,Sale,-15.58,
12/15/2022,12/15/2022,Tesla Insurance Services ,Bills & Utilities,Sale,-184.53,
12/13/2022,12/14/2022,TESLA  INC.,Bills & Utilities,Sale,-9.99,
12/13/2022,12/14/2022,Tesla Inc Supercharger,Automotive,Sale,-1.10,
12/07/2022,12/07/2022,DollarShaveClubUS,Bills & Utilities,Sale,-13.08,
12/06/2022,12/06/2022,Payment Thank You-Mobile,,Payment,606.73,
12/03/2022,12/04/2022,PAYPAL *FUNIMATION,Entertainment,Sale,-9.99,
12/03/2022,12/04/2022,Tesla Inc Supercharger,Automotive,Sale,-18.00,
11/27/2022,11/27/2022,Tesla Inc Supercharger,Automotive,Sale,-13.05,
11/24/2022,11/25/2022,Tesla Inc Supercharger,Automotive,Sale,-12.60,
11/21/2022,11/21/2022,Tesla Inc Supercharger,Automotive,Sale,-15.19,
11/20/2022,11/21/2022,HLU*Hulu 1531732893285-U,Bills & Utilities,Sale,-6.00,
11/16/2022,11/16/2022,Tesla Insurance Services ,Bills & Utilities,Sale,-184.53,
11/14/2022,11/15/2022,Tesla Inc Supercharger,Automotive,Sale,-0.69,
11/13/2022,11/14/2022,TESLA  INC.,Bills & Utilities,Sale,-9.99,
11/12/2022,11/13/2022,Tesla Inc Supercharger,Automotive,Sale,-18.13,
11/11/2022,11/11/2022,AUTOMATIC PAYMENT - THANK,,Payment,26.39,
11/09/2022,11/10/2022,Tesla Inc Supercharger,Automotive,Sale,-6.21,
11/09/2022,11/09/2022,Tesla Inc Supercharger,Automotive,Sale,-5.80,
11/07/2022,11/07/2022,DollarShaveClubUS,Bills & Utilities,Sale,-13.08,
11/05/2022,11/06/2022,Tesla Inc Supercharger,Automotive,Sale,-11.76,
11/03/2022,11/04/2022,PAYPAL *FUNIMATION,Entertainment,Sale,-7.99,
11/01/2022,11/02/2022,BARK&amp;CO (BARKBOX),Shopping,Sale,-28.80,
11/02/2022,11/02/2022,Tesla Inc Supercharger,Automotive,Sale,-12.25,
10/30/2022,10/31/2022,Tesla Inc Supercharger,Automotive,Sale,-4.41,
10/30/2022,10/31/2022,Tesla Inc Supercharger,Automotive,Sale,-4.90,
10/22/2022,10/23/2022,Tesla Inc Supercharger,Automotive,Sale,-11.76,
10/20/2022,10/21/2022,HLU*Hulu 1531732897133-U,Bills & Utilities,Sale,-6.00,
10/20/2022,10/20/2022,Tesla Inc Supercharger,Automotive,Sale,-7.35,
10/17/2022,10/17/2022,Tesla Inc Supercharger,Automotive,Sale,-13.72,
10/16/2022,10/16/2022,Tesla Insurance Services ,Bills & Utilities,Sale,-184.53,
10/13/2022,10/14/2022,TESLA  INC.,Bills & Utilities,Sale,-9.99,
10/10/2022,10/11/2022,Payment Thank You - Web,,Payment,13.08,
10/10/2022,10/11/2022,Tesla Inc Supercharger,Automotive,Sale,-16.40,
10/07/2022,10/09/2022,Payment Thank You - Web,,Payment,276.67,
10/07/2022,10/07/2022,DollarShaveClubUS,Bills & Utilities,Sale,-13.08,
10/03/2022,10/04/2022,PAYPAL *FUNIMATION,Entertainment,Sale,-7.99,
10/03/2022,10/04/2022,Tesla Inc Supercharger,Automotive,Sale,-0.88,
09/28/2022,09/28/2022,Tesla Inc Supercharger,Automotive,Sale,-12.18,
09/22/2022,09/22/2022,Tesla Inc Supercharger,Automotive,Sale,-12.76,
09/20/2022,09/21/2022,HLU*Hulu 1531732898030-U,Bills & Utilities,Sale,-6.00,
09/18/2022,09/19/2022,Tesla Inc Supercharger,Automotive,Sale,-8.12,
09/17/2022,09/18/2022,Tesla Inc Supercharger,Automotive,Sale,-6.38,
09/16/2022,09/16/2022,Tesla Insurance Services ,Bills & Utilities,Sale,-184.53,
09/16/2022,09/16/2022,Tesla Inc Supercharger,Automotive,Sale,-8.12,
09/14/2022,09/14/2022,Tesla Inc Supercharger,Automotive,Sale,-4.06,
09/13/2022,09/14/2022,TESLA  INC.,Bills & Utilities,Sale,-9.99,
